UserIP_Anonymized,Scenario,survey.age,survey.gender,survey.education,survey.political,survey.religious,country_code,Outcome,Continent
011ca71d,Switch,20,Women,No College,0.5,0.67,FR,1,Europe
011e264f,Footbridge,25,Men,No College,1,0,LV,1,Europe
011e264f,Loop,25,Men,No College,1,0,LV,1,Europe
011e264f,Switch,25,Men,No College,1,0,LV,1,Europe
01235ea2,Footbridge,18,Women,No College,0.56,0.1,FR,1,Europe
01235ea2,Loop,18,Women,No College,0.56,0.1,FR,1,Europe
01235ea2,Switch,18,Women,No College,0.56,0.1,FR,1,Europe
01246fea,Footbridge,21,Men,College,0.5,0.5,US,1,Americas
01246fea,Loop,21,Men,College,0.5,0.5,US,1,Americas
01246fea,Switch,21,Men,College,0.5,0.5,US,1,Americas
01248b63,Footbridge,22,Women,College,0.74,0,DE,1,Europe
01248b63,Loop,22,Women,College,0.74,0,DE,1,Europe
01248b63,Switch,22,Women,College,0.74,0,DE,1,Europe
012a7e04,Footbridge,40,Men,College,0.45,0.49,US,0,Americas
012a7e04,Loop,40,Men,College,0.45,0.49,US,0,Americas
012a7e04,Switch,40,Men,College,0.45,0.49,US,0,Americas
012edf76,Footbridge,21,Women,No College,0.5,0.79,HU,0,Europe
012edf76,Loop,21,Women,No College,0.5,0.79,HU,0,Europe
012edf76,Switch,21,Women,No College,0.5,0.79,HU,1,Europe
0130ca96,Switch,48,Women,College,0.74,0.93,US,1,Americas
01337727,Footbridge,21,Men,No College,0.83,0,RU,1,Europe
01337727,Loop,21,Men,No College,0.83,0,RU,1,Europe
0133c657,Footbridge,29,Men,College,0.84,0.02,DK,1,Europe
0133c657,Loop,29,Men,College,0.84,0.02,DK,1,Europe
0133c657,Switch,29,Men,College,0.84,0.02,DK,1,Europe
01351c31,Footbridge,28,Men,College,1,0,RU,0,Europe
01351c31,Loop,28,Men,College,1,0,RU,1,Europe
01351c31,Switch,28,Men,College,1,0,RU,1,Europe
0146e540,Footbridge,19,Men,College,1,0,MX,0,Americas
0146e540,Loop,19,Men,College,1,0,MX,0,Americas
0146e540,Switch,19,Men,College,1,0,MX,0,Americas
